unlock_station_name;geolocation_unlock
27 - Huertas;{'type': 'Point', 'coordinates': [-3.6956178, 40.4132798]}
48 - Embajadores 2;{'type': 'Point', 'coordinates': [-3.7022591, 40.4056107]}
65 - Antonio Maura;{'type': 'Point', 'coordinates': [-3.6894193, 40.4166834]}
102 - Velázquez;{'type': 'Point', 'coordinates': [-3.6840229, 40.4211802]}
144 - Juan Bravo 50;{'type': 'Point', 'coordinates': [-3.6758555, 40.4323655]}
98 - Plaza de Felipe II;{'type': 'Point', 'coordinates': [-3.6758383, 40.4239447]}
206 - Metro Tetuán;{'type': 'Point', 'coordinates': [-3.6989925, 40.4607502]}
73 - Plaza de los Astros;{'type': 'Point', 'coordinates': [-3.6689089, 40.4114475]}
75 - Menéndez Pelayo;{'type': 'Point', 'coordinates': [-3.6784838, 40.4082805]}
127 - Fernando el Católico;{'type': 'Point', 'coordinates': [-3.708439, 40.4338516]}
36 - Plaza Ramales;{'type': 'Point', 'coordinates': [-3.71183, 40.4168]}
20a - Banco de España A;{'type': 'Point', 'coordinates': [-3.6954615, 40.4192342]}
197 - Parque Berlín;{'type': 'Point', 'coordinates': [-3.6780555, 40.4515833]}
141 - Paseo de la Castellana - Glorieta de Emilio Castelar;{'type': 'Point', 'coordinates': [-3.6892368, 40.4355143]}
245 - Galileo;{'type': 'Point', 'coordinates': [-3.71019, 40.4364]}
34 - Jacinto Benavente;{'type': 'Point', 'coordinates': [-3.7036825, 40.4146755]}
18 - Plaza de Pedro Zerolo;{'type': 'Point', 'coordinates': [-3.6996502, 40.4207773]}
9 - Plaza de San Miguel;{'type': 'Point', 'coordinates': [-3.7095084, 40.4156057]}
55 - Plaza de San Ildefonso;{'type': 'Point', 'coordinates': [-3.7020842, 40.4239757]}
194 - Avenida de América 2;{'type': 'Point', 'coordinates': [-3.6772222, 40.43725]}
186 - General Pardiñas;{'type': 'Point', 'coordinates': [-3.6782777, 40.4290555]}
53 - Plaza de Lavapiés;{'type': 'Point', 'coordinates': [-3.7007111, 40.4083061]}
39 - Plaza de la Cebada;{'type': 'Point', 'coordinates': [-3.7088337, 40.4112744]}
131 - Bravo Murillo 44;{'type': 'Point', 'coordinates': [-3.7040344, 40.4418402]}
143 - Diego de León 52;{'type': 'Point', 'coordinates': [-3.678492, 40.4345973]}
60 - Plaza de la Independencia;{'type': 'Point', 'coordinates': [-3.688398, 40.419752]}
132 - Glorieta de los Cuatro Caminos;{'type': 'Point', 'coordinates': [-3.7036675, 40.4463667]}
163 - Paseo de la Esperanza;{'type': 'Point', 'coordinates': [-3.7064516, 40.4035988]}
170 - Paseo de la Esperanza;{'type': 'Point', 'coordinates': [-3.7043611, 40.401]}
117 - Altamirano;{'type': 'Point', 'coordinates': [-3.7188898, 40.4309797]}
209 - Plaza de Castilla 2;{'type': 'Point', 'coordinates': [-3.6887722, 40.4656779]}
236 - Paseo Imperial;{'type': 'Point', 'coordinates': [-3.7172213778842007, 40.40765396169372]}
240 - Avenida Brasilia;{'type': 'Point', 'coordinates': [-3.66096, 40.43666]}
71 - Doce de Octubre;{'type': 'Point', 'coordinates': [-3.6738865, 40.4159569]}
49 - Casa Encendida;{'type': 'Point', 'coordinates': [-3.6992759, 40.4060941]}
45 - Puerta de Toledo;{'type': 'Point', 'coordinates': [-3.7110513, 40.4070358]}
202 - Parque Santander;{'type': 'Point', 'coordinates': [-3.7080833, 40.4411388]}
196 - Prosperidad;{'type': 'Point', 'coordinates': [-3.6751388, 40.4441388]}
115 - Ferraz;{'type': 'Point', 'coordinates': [-3.7170448, 40.4253944]}
89 - Conde Peñalver;{'type': 'Point', 'coordinates': [-3.6752024, 40.4272582]}
124 - Manuel Silvela;{'type': 'Point', 'coordinates': [-3.6993465, 40.4309524]}
58 - Augusto Figueroa;{'type': 'Point', 'coordinates': [-3.697895, 40.4222862]}
